Nombre de la cuenta,Categoría
Acciones no suscritas,Deudor
Anticipo de clientes,Deudor
Anticipo sobre ventas,Deudor
Anticipo a proveedores,Deudor
Anticipo sobre compras,Deudor
Anticipo sobre sueldos,Deudor
Alquileres cobrados,Deudor
Alquileres cobrados por anticipado,Deudor
Alquileres devengados,Deudor
Alquileres percibidos,Deudor
Alquileres percibidos no devengados,Deudor
Amortización acumulada (cualquier activo intangible),Deudor
Bonificación incentivo administración,Deudor
Bonificación incentivo sala de ventas,Deudor
Bonificación incentivo de fábrica,Deudor
Comisiones cobradas por anticipado,Deudor
Comisiones pagadas por anticipado,Deudor
Corresponsales (deudor),Deudor
Cuenta promesa,Deudor
Depósitos en garantía,Deudor
Documentos por cobrar a corto plazo,Deudor
Documentos por cobrar a largo plazo,Deudor
Documentos por cobrar descontados,Deudor
Documentos endosados,Deudor
Documentos descontados,Deudor
Dividendos por cobrar,Deudor
Divisas adquiridas,Deudor
Efectos por cobrar,Deudor
Efectos por cobrar a corto plazo,Deudor
Efectos por cobrar a largo plazo,Deudor
Efectos descontados,Deudor
Efectos endosados,Deudor
Energía eléctrica de fábrica,Deudor
Energía eléctrica de oficina,Deudor
Energía eléctrica de sala de ventas,Deudor
Existencia en caja,Deudor
Existencias en bancos,Deudor
Existencias en corto plazo,Deudor
Existencias en inversiones a corto plazo,Deudor
Existencias en inversiones a largo plazo,Deudor
Existencias en inversiones en bonos a corto plazo,Deudor
Existencias en inversiones en bonos a largo plazo,Deudor
Existencias en seguros no vencidos,Deudor
Existencias en seguros vencidos administración,Deudor
Existencias en seguros vencidos sala de ventas,Deudor
Existencias en reparación y mantenimiento maquinaria,Deudor
Existencias en suministros,Deudor
Existencias en repuestos y accesorios,Deudor
Existencias en repuestos y accesorios consumidos,Deudor
Existencias en mobiliario y equipo,Deudor
Existencias en mobiliario y equipo inservible,Deudor
Existencias en papelera y útiles,Deudor
Existencias en pérdidas acumuladas,Deudor
Existencias en préstamos bancarios,Deudor
Existencias en primas de seguros,Deudor
Existencias en reserva para seguridad social,Deudor
Existencias en reserva para seguros,Deudor
Existencias en reserva para sueldos,Deudor
Existencias en reserva para vacaciones,Deudor
Existencias en reserva para depreciación,Deudor
Existencias en reserva para gastos,Deudor
Existencias en reserva para beneficios sociales,Deudor
Existencias en reserva para dividendos,Deudor
Existencias en reserva para inversiones,Deudor
Existencias en reserva para mantenimiento,Deudor
Existencias en reserva para préstamos,Deudor
Existencias en reserva para retiro de socios,Deudor
Existencias en sociedades,Deudor
Existencias en socios,Deudor
Existencias en viáticos,Deudor
Fletes sobre compras,Deudor
Fletes sobre compras de materia prima,Deudor
Gastos generales,Deudor
Gastos publicitarios,Deudor
Gastos sobre compras,Deudor
Gastos sobre compras de materia prima,Deudor
Intereses por cobrar,Deudor
Intereses pagados por anticipado,Deudor
Inversiones a corto plazo,Deudor
Inversiones a largo plazo,Deudor
Inversiones en valores,Deudor
Inventario de mercaderías,Deudor
Inventarios,Deudor
Inventarios de materias primas,Deudor
Inventarios de productos terminados,Deudor
Inventarios en mercaderías,Deudor
Inventarios en artículos en proceso,Deudor
Inventarios en materia prima,Deudor
Inventarios en artículos terminados,Deudor
Inventarios en corto plazo,Deudor
Inventarios en inversiones a corto plazo,Deudor
Inventarios en inversiones a largo plazo,Deudor
Inventarios en inversiones en bonos a corto plazo,Deudor
Inventarios en inversiones en bonos a largo plazo,Deudor
Inventarios en seguros no vencidos,Deudor
Inventarios en seguros vencidos administración,Deudor
Inventarios en seguros vencidos sala de ventas,Deudor
Inventarios en reparación y mantenimiento maquinaria,Deudor
Inventarios en suministros,Deudor
Inventarios en repuestos y accesorios,Deudor
Inventarios en repuestos y accesorios consumidos,Deudor
Inventarios en mobiliario y equipo,Deudor
Inventarios en mobiliario y equipo inservible,Deudor
Inventarios en papelera y útiles,Deudor
Inventarios en pérdidas acumuladas,Deudor
Inventarios en préstamos bancarios,Deudor
Inventarios en primas de seguros,Deudor
Inventarios en reserva para seguridad social,Deudor
Inventarios en reserva para seguros,Deudor
Inventarios en reserva para sueldos,Deudor
Inventarios en reserva para vacaciones,Deudor
Inventarios en reserva para depreciación,Deudor
Inventarios en reserva para gastos,Deudor
Inventarios en reserva para beneficios sociales,Deudor
Inventarios en reserva para dividendos,Deudor
Inventarios en reserva para inversiones,Deudor
Inventarios en reserva para mantenimiento,Deudor
Inventarios en reserva para préstamos,Deudor
Inventarios en reserva para retiro de socios,Deudor
Inventarios en sociedades,Deudor
Inventarios en socios,Deudor
Inventarios en viáticos,Deudor
Letras por pagar,Deudor
Licencias,Deudor
Monto de alquiler de oficina,Deudor
Monto de alquiler de sala de ventas,Deudor
Monto de alquiler de fábrica,Deudor
Monto de alquiler de bodega,Deudor
Monto de alquiler de depósitos,Deudor
Monto de alquiler de estacionamiento,Deudor
Monto de alquiler de viviendas,Deudor
Monto de alquiler de maquinaria,Deudor
Monto de alquiler de equipo de computación,Deudor
Monto de alquiler de vehículos,Deudor
Monto de alquiler de herramientas,Deudor
Monto de alquiler de suministros,Deudor
Préstamos bancarios,Deudor
Préstamos bancarios a corto plazo,Deudor
Préstamos bancarios a largo plazo,Deudor
Suministros en existencia,Deudor
Suministros consumidos en fábrica,Deudor
Suministros consumidos en sala de ventas,Deudor
Suministros consumidos,Deudor
Cuentas malas,Acreedor
Pérdidas acumuladas,Acreedor
Pérdida de capital,Acreedor
Pérdida en negociación de activos,Acreedor
Multas y recargos,Acreedor
Bonos comprados,Acreedor
Bonos emitidos,Acreedor
Dividendos percibidos,Acreedor
Dividendos no retirados,Acreedor
Dividendos ganados,Acreedor
Dividendos por pagar,Acreedor
Dividendos por cobrar,Acreedor
Utilidad del ejercicio,Acreedor
Utilidades no distribuidas,Acreedor
Utilidades retenidas,Acreedor
Acciones por pagar,Acreedor
Acciones suscritas,Acreedor
Acreedores,Acreedor
Acreedores hipotecarios,Acreedor
Acreedores a largo plazo,Acreedor
Acreedores por prendas en garantía,Acreedor
Acreedores comerciales,Acreedor
Acreedores no comerciales,Acreedor
Alquileres por pagar,Acreedor
Amortización crédito mercantil,Acreedor
Amortización derecho de llave,Acreedor
Amortización gastos de constitución,Acreedor
Amortización gastos de instalación fábrica,Acreedor
Amortización gastos de instalación sala de ventas,Acreedor
Amortización gastos de instalación administración,Acreedor
Amortización gastos de instalación oficina,Acreedor
Amortización gastos de organización,Acreedor
Amortización marcas y patentes,Acreedor
Amortización de patentes,Acreedor
Amortización renombre comercial,Acreedor
Comisiones gasto,Acreedor
Comisiones por pagar,Acreedor
Comisiones sobre ventas,Acreedor
Corresponsales (acreedor),Acreedor
Cuentas por pagar,Acreedor
Cuentas por pagar comerciales,Acreedor
Cuentas por pagar no comerciales,Acreedor
Cuotas laborales por pagar,Acreedor
Cuotas patronales fábrica,Acreedor
Cuotas patronales administración,Acreedor
Cuotas patronales sala de ventas,Acreedor
Cuotas patronales por pagar,Acreedor
Depreciación fábrica,Acreedor
Depreciación administración,Acreedor
Depreciación sala de ventas,Acreedor
Depreciación construcción fábrica,Acreedor
Depreciación construcción de oficina,Acreedor
Depreciación construcción de sala de ventas,Acreedor
Depreciación edificios fábrica,Acreedor
Depreciación edificios de oficina,Acreedor
Depreciación edificios de sala de ventas,Acreedor
Depreciación inmuebles de fábrica,Acreedor
Depreciación inmuebles de oficina,Acreedor
Depreciación inmuebles de sala de ventas,Acreedor
Depreciación herramientas de oficina,Acreedor
Depreciación herramientas fábrica,Acreedor
Depreciación herramientas sala de ventas,Acreedor
Depreciación vehículos de reparto,Acreedor
Depreciación vehículos de fábrica,Acreedor
Depreciación vehículos de oficina,Acreedor
Depreciación vehículos de sala de ventas,Acreedor
Depreciación equipo de computación,Acreedor
Depreciación equipo de computación fábrica,Acreedor
Depreciación equipo de computación sala de ventas,Acreedor
Depreciación sistemas informáticos,Acreedor
Donativos por pagar,Acreedor
Impuesto único sobre inmuebles de sala de ventas,Acreedor
Impuesto único sobre inmuebles de administración,Acreedor
Impuesto sobre la renta,Acreedor
Impuesto sobre la renta trimestral,Acreedor
IUSI sala de ventas,Acreedor
IUSI administración,Acreedor
Retenciones judiciales,Acreedor
Retenciones administrativas,Acreedor
Retenciones bancarias,Acreedor
Retenciones fiscales,Acreedor
Retenciones municipales,Acreedor
Retenciones notariales,Acreedor
Retenciones aduanales,Acreedor
Retenciones ISR,Acreedor
Retenciones IVA,Acreedor
Retenciones ISO,Acreedor
Socio X cuenta personal,Acreedor
Socio X cuenta particular,Acreedor
Socio X cuenta promesa,Acreedor
Socio X cuenta beneficios,Acreedor
Sueldos por pagar,Acreedor
Timbre de prensa,Acreedor
Costos de producción,Debe
Combustibles y lubricantes consumidos sala de ventas,Debe
Combustibles y lubricantes consumidos fábrica,Debe
Combustibles y lubricantes consumidos administración,Debe
Gastos diversos fábrica,Debe
Gastos diversos administración,Debe
Gastos diversos sala de ventas,Debe
Gastos misceláneos fábrica,Debe
Gastos misceláneos administración,Debe
Gastos misceláneos sala de ventas,Debe
Grasas y aceites consumidos,Debe
Grasas y aceites consumidos fábrica,Debe
Grasas y aceites consumidos sala de ventas,Debe
Mano de obra directa,Debe
Materia prima,Debe
Materia prima estropeada,Debe
Materia prima inservible,Debe
Materia prima en aduana,Debe
Materia prima en tránsito,Debe
Material de empaque consumido,Debe
Material de empaque consumido en fábrica,Debe
Publicidad,Debe
Reparación y mantenimiento de maquinaria,Debe
Suministros consumidos en fábrica,Debe
Suministros consumidos en sala de ventas,Debe
Devolución y rebajas sobre ventas,Haber
Devolución y rebajas sobre compras,Haber
Devolución y rebajas sobre compras de materia prima,Haber
Cuentas malas,Pérdida
Pérdidas acumuladas,Pérdida
Pérdida de capital,Pérdida
Pérdida en negociación de activos,Pérdida
Multas y recargos,Pérdida
Bonos comprados,Ganancia
Bonos emitidos,Ganancia
Dividendos percibidos,Ganancia
Dividendos no retirados,Ganancia
Dividendos ganados,Ganancia
Dividendos por pagar,Ganancia
Dividendos por cobrar,Ganancia
Utilidad del ejercicio,Ganancia
Utilidades no distribuidas,Ganancia
Utilidades retenidas,Ganancia
Acciones por pagar,Pasivo
Acciones suscritas,Pasivo
Acreedores,Pasivo
Acreedores hipotecarios,Pasivo
Acreedores a largo plazo,Pasivo
Acreedores comerciales,Pasivo
Acreedores no comerciales,Pasivo
Acreedores diversos,Pasivo
Acreedores por préstamos,Pasivo
Acreedores por anticipos,Pasivo
Acreedores por devoluciones,Pasivo
Alquileres por pagar,Pasivo
Bonos emitidos,Pasivo
Caja chica,Pasivo
Caja y bancos,Pasivo
Capital social,Pasivo
Clientes,Pasivo
Cuentas por cobrar,Pasivo
Documentos por cobrar,Pasivo
Efectos por cobrar,Pasivo
Fletes por pagar,Pasivo
Gastos acumulados,Pasivo
Intereses por pagar,Pasivo
Letras por pagar,Pasivo
Préstamos bancarios,Pasivo
Proveedores,Pasivo
Sueldos por pagar,Pasivo
Suministros por pagar,Pasivo
Utilidades por pagar,Pasivo
